Year,Title,Authors,Link
1981,Low Cost Sound Analysis/Synthesis Technique,"Parodi, Alexandre",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.028/1
1981,Progress Report on the 4X Machine and Its Use,"Digiugno, G.; Kott, Jean; Gerzo, Andrew",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.029/1
1981,Musical Synthesis: Evolution of the 'Chant' Project,"Barrier, J. B.; Holleville, J.; Potard, Y.; Rodet, X.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.030/1
1981,The Fairlight CMI and Its Uses in Advanced Laser Graphics,"McLean, Barton",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.031/1
1981,Idiomatic Instruments,"Rolnick, Neil B.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.032/1
1981,Evolution of Interactive Control and Real-time Synthesis in a Digtital Music System,"Risberg, Jeffrey S.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.033/1
1981,"RTSKED, A Scheduled Performance Language for the Crumar General Development System","Mathews, M. V.; Pasquale, J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.034/1
1981,15 Months of Musical Production Using a Real-Time Digital Sound Synthesis System,"Haynes, Stanley",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.035/1
1981,A Real-time Music 11 Emulator,"Puckette, Miller; Vercoe, Barry; Stautner, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.036/1
1981,A Touch-Sensitive Input Device,"Sasaki, L.; Fedorkow, G.; Buxton, W.; Retterath, C.; Smith, K. C.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.037/1
1981,Perceptual Organization in Music Listening,"Piszczalski, M.; Galler, B. A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.038/1
1981,A General Synthesis Package Based on Principles of Auditory Perception,"McAdams, Stephen; Wessel, David",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.039/1
1981,Innovative Programming Method for Sound Waveform Production: A Plucked String Sound,"Stewart, David N.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.040/1
1981,The Dynamic Aspects of Trumpet Phrases,"Morrill, Dexter",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.041/1
1981,"Data Reduction and Resynthesis of Connected Solo Passages using Frequency, Amplitude, and “Brightness” Detection and the Nonlinear Synthesis Technique","Beauchamp, James W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.042/1
1981,Microcomputers and Future Work in Computer-Assisted Music Analysis,"Kolosick, J. Timothy",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.043/1
1981,A Selection Method for Organization of Proportions and Musical Intervals for Composition and Analytic Purpose,"Blair, William F.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.044/1
1981,Combination Product Sets and Other Harmonic And Melodic Structures,"Chalmers, John H.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.045/1
1981,A Model Computer Program for the Parametral Analysis of Atonal Music,"Legassé, Denise A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.046/1
1981,The Casheab Synthesizer: How it Works,"Castro, Caesar",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.047/1
1981,An Overview Demonstration of the SSSP System,"Buxton, William",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.048/1
1981,Computer Games for Developing Musical Skills,"Lamb, Martin",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.049/1
1981,On Contextually Adaptive Timbres,"Buxton, W.; Hull, S.; Fournier, A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.050/1
1981,Gregory's Scribe: Interactive Graphics for Music Notation before 1600,"Crawford, David",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.051/1
1981,Mockingbird: A Composer's Amanuensis,"Maxwell, John; Ornstein, Sgvero",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.052/1
1981,Concert Programs,—,https://quod.lib.umich.edu/i/icmc/bbp2372.1981.053/1
1982,The New Electronic and Computer Music Facility at Simon Fraser University,"Truax, Barry",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.001/1
1982,Computer Audio Research Laboratory Studio Report,"Moore, F. Richard; Loy, D. Gareth",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.002/1
1982,The GRM Digital Studio for Treating Natural Sounds,"Mailliard, Benedict; Geslin, Yann; Allouis, Jean-Francois",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.003/1
1982,Real-Time Synthesis at the University of Victoria,"Celona, John; Longton, Michael",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.004/1
1982,Studio Report S.I.M./Rome (Use of Advanced Digital Technology for Musical Purpose),"Petrarca, Stefano; Sani, Nicola",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.005/1
1982,Studio Report IASM Napoli,"Turco, C.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.006/1
1982,Phthong - An Interactive System for Music Composition,"Blum, Thomas",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.007/1
1982,Use of Microprocessor in Real-Time Synthesis of Sounds,"Sapir, Sylviane; Kronland-Martinet, Ricard",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.008/1
1982,"The Control Channels of Instrumental Playing in Computer Music - Real Time in Computer Music, Incidence on the Choice of the Basic Models","Cadoz, Claude; Luciani, Annie; Florens, Jean-Loup; Dars-Berberyan, Talin",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.009/1
1982,A Generalized Orchestra Compiler for the Z80 Microprocessor,"Kleen, Leslie",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.010/1
1982,An Alternative Approach to Software for the DMX-1000,"Marr, Alan; Pennycook, Bruce W. J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.011/1
1982,A Portable “Walsh” Synthesizer,"Haus, Goffredo; Malcangi, Mario",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.012/1
1982,An Efficient Method to Implement Amplitude Modulation: A Hardware Realization,"Cavaliere, Sergio; Ortosecco, Immacolata; Parascandolo, Pasquale; Piccialli, Aldo",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.013/1
1982,A μ-Processor-Based System for Music Composition and Production,"Tarabella, Leonello",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.014/1
1982,A Sound File System for UNIX,"Loy, Gareth",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.015/1
1982,The AXIS Digital DSY8201 Polyphonic Digital Music Synthesizer,"Asta, Vito; Freed, Adrian",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.016/1
1982,Remembering Performance Gestures,"Abbott, Curtis",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.017/1
1982,Introduction to the Mshell,"Pope, Stephen T.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.018/1
1982,The Audio Composition System at The Defense and Civil Institute for Environmental Medicine,"Pennycook, Bruce W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.019/1
1982,A Multimicrocomputer System for Real-Time Music Synthesis: Design and Implementation,"Noetzel, Andrew S.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.020/1
1982,Architecture of a Processor for the Digital Analysis/Synthesis of Sound,"Debiasi, Giovanni B.; Rubbazzer, Maurizio",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.021/1
1982,The SYTER Project: Sound Processor Design and Software Overview,"Allouis, Jean François; Bernier, Jean-Yves",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.022/1
1982,Real-Time Control System for Digital Synthesizer,"De Loye, Martin",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.023/1
1982,On Automatic Pattern Recognition and Acquisition of Printed Music,"Andronico, Alfio; Ciampa, Alberto",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.024/1
1982,Music and Causality,"Antoni, Giovanni Degli; Haus, Goffredo",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.025/1
1982,Formal Representation of Basic Blocks for Sound Synthesis,"Santoiemma, M.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.026/1
1982,Synthesis of Bowed Strings,"Smith III, Julius Orion",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.027/1
1982,Is MUSIC V a Real Time Program? (Oldies but Goodies),"Arfib, Daniel",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.028/1
1982,Computer Synthesis of Sound Applied to Composition with Sonic Processes,"Risset, Jean-Claude",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.029/1
1982,A Computer Orchestra,"Beauchamp, James",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.030/1
1982,Digital Simulation of the Piano,"Rogers, J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.031/1
1982,A Microprocessor Oriented Toward the Frequency Synthesis,"De Santis, Antonio",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.032/1
1982,The Simulation and Extrapolation of Instrumental Sounds Using Direct Synthesis at IRCAM,"Battier, M.; Lancino, T.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.033/1
1982,A Flexible Acoustic Ambience Simulator,"Stautner, J. P.; Hale, R. L.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.034/1
1982,"The CHANT Project: Modelization and Production, an Environment for Composers Including the FORMES Language for Describing and Controlling Sound and Musical Processes","Rodet, X.; Barriere, J. B.; Cointe, P.; Potard, Y.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.035/1
1982,Computer Music as a Permanent Service - Towards Musical Telematics,"Grossi, P.; Bertini, G.; Andreoni, R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.036/1
1982,From Music Score to Sound: A Rule System for Musical Performance of Melodies,"Fryden, L.; Sundberg, J.; Askenfelt, A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.037/1
1982,Research on Timbre and Musical Contexts at CCRMA,"Strawn, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.038/1
1982,Analysis and Synthesis of Music Using a Model of the Auditory Transform,"Stautner, John P.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.039/1
